displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,Dendrocygna autumnalis,bbwduc,species,bbwduc,species,True
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,species,fuwduc,species,True
Bar-headed Goose,Bar-headed Goose,Anser indicus,bahgoo,species,bahgoo,species,True
Snow Goose,Snow Goose,Anser caerulescens,snogoo,species,snogoo,species,True
Graylag Goose,Graylag Goose,Anser anser,gragoo,species,gragoo,species,True
Graylag Goose (Domestic type),Graylag Goose (Domestic type),Anser anser (Domestic type),gragoo1,domestic,gragoo1,domestic,False
Swan Goose (Domestic type),Swan Goose (Domestic type),Anser cygnoides (Domestic type),swagoo2,domestic,swagoo2,domestic,False
Graylag x Swan Goose (Domestic type) (hybrid),Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),x00776,hybrid,x00776,hybrid,False
Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,gwfgoo,species,gwfgoo,species,True
Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,lwfgoo,species,lwfgoo,species,True
Taiga Bean-Goose,Taiga Bean-Goose,Anser fabalis,taibeg1,species,taibeg1,species,True
Tundra Bean-Goose,Tundra Bean-Goose,Anser serrirostris,tunbeg1,species,tunbeg1,species,True
Taiga/Tundra Bean-Goose,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,y00468,slash,y00468,slash,False
Pink-footed Goose,Pink-footed Goose,Anser brachyrhynchus,pifgoo,species,pifgoo,species,True
Domestic goose sp. (Domestic type),Domestic goose sp. (Domestic type),Anser sp. (Domestic type),domgoo1,domestic,domgoo1,domestic,False
Anser sp.,Anser sp.,Anser sp.,anser1,spuh,anser1,spuh,False
Brant,Brant,Branta bernicla,brant,species,brant,species,True
Barnacle Goose,Barnacle Goose,Branta leucopsis,bargoo,species,bargoo,species,True
Graylag x Barnacle Goose (hybrid),Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,x00649,hybrid,x00649,hybrid,False
Cackling Goose,Cackling Goose,Branta hutchinsii,cacgoo1,species,cacgoo1,species,True
Canada Goose,Canada Goose,Branta canadensis,cangoo,species,cangoo,species,True
Graylag x Canada Goose (hybrid),Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,x00758,hybrid,x00758,hybrid,False
Graylag Goose (Domestic type) x Canada Goose (hybrid),Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,gragoo4,hybrid,gragoo4,hybrid,False
Barnacle x Canada Goose (hybrid),Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,x00417,hybrid,x00417,hybrid,False
Red-breasted Goose,Red-breasted Goose,Branta ruficollis,rebgoo1,species,rebgoo1,species,True
goose sp.,goose sp.,Anser/Branta sp.,goose1,spuh,goose1,spuh,False
Mute Swan,Mute Swan,Cygnus olor,mutswa,species,mutswa,species,True
Black Swan,Black Swan,Cygnus atratus,blkswa,species,blkswa,species,True
Tundra Swan,Tundra Swan,Cygnus columbianus,tunswa,species,tunswa,species,True
Whooper Swan,Whooper Swan,Cygnus cygnus,whoswa,species,whoswa,species,True
swan sp.,swan sp.,Cygnus sp.,swan1,spuh,swan1,spuh,False
Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,egygoo,species,egygoo,species,True
Ruddy Shelduck,Ruddy Shelduck,Tadorna ferruginea,rudshe,species,rudshe,species,True
Common Shelduck,Common Shelduck,Tadorna tadorna,comshe,species,comshe,species,True
Ruddy x Common Shelduck (hybrid),Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna,x00876,hybrid,x00876,hybrid,False
Muscovy Duck,Muscovy Duck,Cairina moschata,musduc,species,musduc,species,True
Muscovy Duck (Domestic type),Muscovy Duck (Domestic type),Cairina moschata (Domestic type),musduc2,domestic,musduc2,domestic,False
Ringed Teal,Ringed Teal,Callonetta leucophrys,rintea1,species,rintea1,species,True
Wood Duck,Wood Duck,Aix sponsa,wooduc,species,wooduc,species,True
Mandarin Duck,Mandarin Duck,Aix galericulata,manduc,species,manduc,species,True
Brazilian Teal,Brazilian Teal,Amazonetta brasiliensis,bratea1,species,bratea1,species,True
Baikal Teal,Baikal Teal,Sibirionetta formosa,baitea,species,baitea,species,True
Garganey,Garganey,Spatula querquedula,gargan,species,gargan,species,True
Blue-winged Teal,Blue-winged Teal,Spatula discors,buwtea,species,buwtea,species,True
Cinnamon Teal,Cinnamon Teal,Spatula cyanoptera,cintea,species,cintea,species,True
Northern Shoveler,Northern Shoveler,Spatula clypeata,norsho,species,norsho,species,True
Blue-winged Teal x Northern Shoveler (hybrid),Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,x00629,hybrid,x00629,hybrid,False
Gadwall,Gadwall,Mareca strepera,gadwal,species,gadwal,species,True
Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,eurwig,species,eurwig,species,True
Gadwall x Eurasian Wigeon (hybrid),Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope,x00723,hybrid,x00723,hybrid,False
American Wigeon,American Wigeon,Mareca americana,amewig,species,amewig,species,True
Chiloe Wigeon,Chiloe Wigeon,Mareca sibilatrix,chiwig1,species,chiwig1,species,True
Mallard,Mallard,Anas platyrhynchos,mallar3,species,mallar3,species,True
Mallard (Domestic type),Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar2,domestic,mallar2,domestic,False
Muscovy Duck x Mallard (hybrid),Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,mdxmal1,hybrid,mdxmal1,hybrid,False
Wood Duck x Mallard (hybrid),Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos,x00205,hybrid,x00205,hybrid,False
Gadwall x Mallard (hybrid),Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,x00420,hybrid,x00420,hybrid,False
Mallard/Mexican Duck,Mallard/Mexican Duck,Anas platyrhynchos/diazi,mallar,slash,mallar,slash,False
American Black Duck,American Black Duck,Anas rubripes,ambduc,species,ambduc,species,True
Mallard x American Black Duck (hybrid),Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,x00004,hybrid,x00004,hybrid,False
White-cheeked Pintail,White-cheeked Pintail,Anas bahamensis,whcpin,species,whcpin,species,True
Northern Pintail,Northern Pintail,Anas acuta,norpin,species,norpin,species,True
Mallard x Northern Pintail (hybrid),Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,x00628,hybrid,x00628,hybrid,False
Yellow-billed Pintail,Yellow-billed Pintail,Anas georgica,yebpin1,species,yebpin1,species,True
Green-winged Teal,Green-winged Teal,Anas crecca,gnwtea,species,gnwtea,species,True
Garganey/Green-winged Teal,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,y00766,slash,y00766,slash,False
Anas sp.,Anas sp.,Anas sp.,anas1,spuh,anas1,spuh,False
dabbling duck sp.,dabbling duck sp.,Anatidae sp. (dabbling duck sp.),dabduc1,spuh,dabduc1,spuh,False
Marbled Teal,Marbled Teal,Marmaronetta angustirostris,martea1,species,martea1,species,True
Red-crested Pochard,Red-crested Pochard,Netta rufina,recpoc,species,recpoc,species,True
Mallard x Red-crested Pochard (hybrid),Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,x00648,hybrid,x00648,hybrid,False
Common Pochard,Common Pochard,Aythya ferina,compoc,species,compoc,species,True
Ring-necked Duck,Ring-necked Duck,Aythya collaris,rinduc,species,rinduc,species,True
Ferruginous Duck,Ferruginous Duck,Aythya nyroca,ferduc,species,ferduc,species,True
Common Pochard x Ferruginous Duck (hybrid),Common Pochard x Ferruginous Duck (hybrid),Aythya ferina x nyroca,x00764,hybrid,x00764,hybrid,False
Tufted Duck,Tufted Duck,Aythya fuligula,tufduc,species,tufduc,species,True
Common Pochard x Tufted Duck (hybrid),Common Pochard x Tufted Duck (hybrid),Aythya ferina x fuligula,x00683,hybrid,x00683,hybrid,False
Ring-necked x Tufted Duck (hybrid),Ring-necked x Tufted Duck (hybrid),Aythya collaris x fuligula,x00652,hybrid,x00652,hybrid,False
Ferruginous x Tufted Duck (hybrid),Ferruginous x Tufted Duck (hybrid),Aythya nyroca x fuligula,x00839,hybrid,x00839,hybrid,False
Greater Scaup,Greater Scaup,Aythya marila,gresca,species,gresca,species,True
Tufted Duck x Greater Scaup (hybrid),Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,x00654,hybrid,x00654,hybrid,False
Lesser Scaup,Lesser Scaup,Aythya affinis,lessca,species,lessca,species,True
Aythya sp.,Aythya sp.,Aythya sp.,aythya1,spuh,aythya1,spuh,False
Common Eider,Common Eider,Somateria mollissima,comeid,species,comeid,species,True
Surf Scoter,Surf Scoter,Melanitta perspicillata,sursco,species,sursco,species,True
Velvet Scoter,Velvet Scoter,Melanitta fusca,whwsco3,species,whwsco3,species,True
Stejneger's Scoter,Stejneger's Scoter,Melanitta stejnegeri,whwsco1,species,whwsco1,species,True
Common Scoter,Common Scoter,Melanitta nigra,blksco1,species,blksco1,species,True
scoter sp.,scoter sp.,Melanitta sp.,scoter,spuh,scoter,spuh,False
Long-tailed Duck,Long-tailed Duck,Clangula hyemalis,lotduc,species,lotduc,species,True
Bufflehead,Bufflehead,Bucephala albeola,buffle,species,buffle,species,True
Common Goldeneye,Common Goldeneye,Bucephala clangula,comgol,species,comgol,species,True
Smew,Smew,Mergellus albellus,smew,species,smew,species,True
Common Merganser,Common Merganser,Mergus merganser,commer,species,commer,species,True
Red-breasted Merganser,Red-breasted Merganser,Mergus serrator,rebmer,species,rebmer,species,True
Ruddy Duck,Ruddy Duck,Oxyura jamaicensis,rudduc,species,rudduc,species,True
White-headed Duck,White-headed Duck,Oxyura leucocephala,whhduc1,species,whhduc1,species,True
Ruddy x White-headed Duck (hybrid),Ruddy x White-headed Duck (hybrid),Oxyura jamaicensis x leucocephala,x00705,hybrid,x00705,hybrid,False
duck sp.,duck sp.,Anatinae sp.,duck1,spuh,duck1,spuh,False
waterfowl sp.,waterfowl sp.,Anatidae sp.,waterf1,spuh,waterf1,spuh,False
Helmeted Guineafowl (Domestic type),Helmeted Guineafowl (Domestic type),Numida meleagris (Domestic type),helgui1,domestic,helgui1,domestic,False
Indian Peafowl (Domestic type),Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),indpea1,domestic,indpea1,domestic,False
Common Quail,Common Quail,Coturnix coturnix,comqua1,species,comqua1,species,True
Red-legged Partridge,Red-legged Partridge,Alectoris rufa,relpar1,species,relpar1,species,True
Barbary Partridge,Barbary Partridge,Alectoris barbara,barpar2,species,barpar2,species,True
Ring-necked Pheasant,Ring-necked Pheasant,Phasianus colchicus,rinphe,species,rinphe,species,True
Gray Partridge,Gray Partridge,Perdix perdix,grypar,species,grypar,species,True
Wild Turkey (Domestic type),Wild Turkey (Domestic type),Meleagris gallopavo (Domestic type),wiltur1,domestic,wiltur1,domestic,False
Chilean Flamingo,Chilean Flamingo,Phoenicopterus chilensis,chifla1,species,chifla1,species,True
American Flamingo,American Flamingo,Phoenicopterus ruber,grefla2,species,grefla2,species,True
Greater Flamingo,Greater Flamingo,Phoenicopterus roseus,grefla3,species,grefla3,species,True
American/Greater Flamingo,American/Greater Flamingo,Phoenicopterus ruber/roseus,grefla,slash,grefla,slash,False
Lesser Flamingo,Lesser Flamingo,Phoeniconaias minor,lesfla1,species,lesfla1,species,True
Little Grebe,Little Grebe,Tachybaptus ruficollis,litgre1,species,litgre1,species,True
Pied-billed Grebe,Pied-billed Grebe,Podilymbus podiceps,pibgre,species,pibgre,species,True
Horned Grebe,Horned Grebe,Podiceps auritus,horgre,species,horgre,species,True
Red-necked Grebe,Red-necked Grebe,Podiceps grisegena,rengre,species,rengre,species,True
Great Crested Grebe,Great Crested Grebe,Podiceps cristatus,grcgre1,species,grcgre1,species,True
Eared Grebe,Eared Grebe,Podiceps nigricollis,eargre,species,eargre,species,True
Horned/Eared Grebe,Horned/Eared Grebe,Podiceps auritus/nigricollis,y00229,slash,y00229,slash,False
Rock Pigeon,Rock Pigeon,Columba livia,rocpig,species,rocpig,species,True
Stock Dove,Stock Dove,Columba oenas,stodov1,species,stodov1,species,True
Common Wood-Pigeon,Common Wood-Pigeon,Columba palumbus,cowpig1,species,cowpig1,species,True
Columba sp.,Columba sp.,Columba sp.,columb1,spuh,columb1,spuh,False
European Turtle-Dove,European Turtle-Dove,Streptopelia turtur,eutdov,species,eutdov,species,True
Eurasian Collared-Dove,Eurasian Collared-Dove,Streptopelia decaocto,eucdov,species,eucdov,species,True
African Collared-Dove,African Collared-Dove,Streptopelia roseogrisea,afcdov1,species,afcdov1,species,True
African Collared-Dove (Domestic type or Ringed Turtle-Dove),African Collared-Dove (Domestic type or Ringed Turtle-Dove),Streptopelia roseogrisea (Domestic type),afrcod1,domestic,afrcod1,domestic,False
Laughing Dove,Laughing Dove,Streptopelia senegalensis,laudov1,species,laudov1,species,True
Streptopelia sp.,Streptopelia sp.,Streptopelia sp.,strept1,spuh,strept1,spuh,False
Mourning Dove,Mourning Dove,Zenaida macroura,moudov,species,moudov,species,True
pigeon/dove sp.,pigeon/dove sp.,Columbidae sp.,dove1,spuh,dove1,spuh,False
Pin-tailed Sandgrouse,Pin-tailed Sandgrouse,Pterocles alchata,pitsan1,species,pitsan1,species,True
Black-bellied Sandgrouse,Black-bellied Sandgrouse,Pterocles orientalis,blbsan1,species,blbsan1,species,True
sandgrouse sp.,sandgrouse sp.,Pterocles sp.,sandgr1,spuh,sandgr1,spuh,False
Great Bustard,Great Bustard,Otis tarda,grebus1,species,grebus1,species,True
Houbara Bustard,Houbara Bustard,Chlamydotis undulata,houbus1,species,houbus1,species,True
Little Bustard,Little Bustard,Tetrax tetrax,litbus1,species,litbus1,species,True
Great Spotted Cuckoo,Great Spotted Cuckoo,Clamator glandarius,grscuc1,species,grscuc1,species,True
Common Cuckoo,Common Cuckoo,Cuculus canorus,comcuc,species,comcuc,species,True
Red-necked Nightjar,Red-necked Nightjar,Caprimulgus ruficollis,rennig1,species,rennig1,species,True
Eurasian Nightjar,Eurasian Nightjar,Caprimulgus europaeus,eurnig1,species,eurnig1,species,True
Red-necked/Eurasian Nightjar,Red-necked/Eurasian Nightjar,Caprimulgus ruficollis/europaeus,y00677,slash,y00677,slash,False
Caprimulgus sp.,Caprimulgus sp.,Caprimulgus sp.,caprim1,spuh,caprim1,spuh,False
Chimney Swift,Chimney Swift,Chaetura pelagica,chiswi,species,chiswi,species,True
Alpine Swift,Alpine Swift,Apus melba,alpswi1,species,alpswi1,species,True
Common Swift,Common Swift,Apus apus,comswi,species,comswi,species,True
Plain Swift,Plain Swift,Apus unicolor,plaswi1,species,plaswi1,species,True
Pallid Swift,Pallid Swift,Apus pallidus,palswi3,species,palswi3,species,True
Common/Pallid Swift,Common/Pallid Swift,Apus apus/pallidus,y00732,slash,y00732,slash,False
Little Swift,Little Swift,Apus affinis,litswi1,species,litswi1,species,True
White-rumped Swift,White-rumped Swift,Apus caffer,whrswi1,species,whrswi1,species,True
Apus sp.,Apus sp.,Apus sp.,apus1,spuh,apus1,spuh,False
swift sp.,swift sp.,Apodidae sp.,swift1,spuh,swift1,spuh,False
Water Rail,Water Rail,Rallus aquaticus,watrai1,species,watrai1,species,True
Corn Crake,Corn Crake,Crex crex,corcra,species,corcra,species,True
Giant Wood-Rail,Giant Wood-Rail,Aramides ypecaha,giwrai1,species,giwrai1,species,True
Spotted Crake,Spotted Crake,Porzana porzana,spocra1,species,spocra1,species,True
Eurasian Moorhen,Eurasian Moorhen,Gallinula chloropus,commoo3,species,commoo3,species,True
Eurasian Coot,Eurasian Coot,Fulica atra,eurcoo,species,eurcoo,species,True
Red-knobbed Coot,Red-knobbed Coot,Fulica cristata,rekcoo1,species,rekcoo1,species,True
Eurasian/Red-knobbed Coot,Eurasian/Red-knobbed Coot,Fulica atra/cristata,y00680,slash,y00680,slash,False
Eurasian x Red-knobbed Coot (hybrid),Eurasian x Red-knobbed Coot (hybrid),Fulica atra x cristata,x00911,hybrid,x00911,hybrid,False
American Coot,American Coot,Fulica americana,y00475,species,y00475,species,True
coot sp.,coot sp.,Fulica sp.,coot1,spuh,coot1,spuh,False
Allen's Gallinule,Allen's Gallinule,Porphyrio alleni,allgal1,species,allgal1,species,True
Purple Gallinule,Purple Gallinule,Porphyrio martinica,purgal2,species,purgal2,species,True
Western Swamphen,Western Swamphen,Porphyrio porphyrio,purswa1,species,purswa1,species,True
Little Crake,Little Crake,Zapornia parva,litcra1,species,litcra1,species,True
Baillon's Crake,Baillon's Crake,Zapornia pusilla,baicra1,species,baicra1,species,True
Little/Baillon's Crake,Little/Baillon's Crake,Zapornia parva/pusilla,y00950,slash,y00950,slash,False
Spotted/Little/Baillon's Crake,Spotted/Little/Baillon's Crake,Porzana porzana/Zapornia parva/pusilla,y01026,slash,y01026,slash,False
Zapornia sp.,Zapornia sp.,Zapornia sp.,zaporn1,spuh,zaporn1,spuh,False
Porzana/Zapornia/Hapalocrex sp.,Porzana/Zapornia/Hapalocrex sp.,Porzana/Zapornia/Hapalocrex sp.,porzan1,spuh,porzan1,spuh,False
Demoiselle Crane,Demoiselle Crane,Anthropoides virgo,demcra1,species,demcra1,species,True
Sandhill Crane,Sandhill Crane,Antigone canadensis,sancra,species,sancra,species,True
Common Crane,Common Crane,Grus grus,comcra,species,comcra,species,True
Eurasian Thick-knee,Eurasian Thick-knee,Burhinus oedicnemus,eutkne1,species,eutkne1,species,True
Egyptian Plover,Egyptian Plover,Pluvianus aegyptius,egyplo1,species,egyplo1,species,True
Black-winged Stilt,Black-winged Stilt,Himantopus himantopus,bkwsti,species,bkwsti,species,True
Pied Avocet,Pied Avocet,Recurvirostra avosetta,pieavo1,species,pieavo1,species,True
Eurasian Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,euroys1,species,euroys1,species,True
Black-bellied Plover,Black-bellied Plover,Pluvialis squatarola,bkbplo,species,bkbplo,species,True
European Golden-Plover,European Golden-Plover,Pluvialis apricaria,eugplo,species,eugplo,species,True
American Golden-Plover,American Golden-Plover,Pluvialis dominica,amgplo,species,amgplo,species,True
Pacific Golden-Plover,Pacific Golden-Plover,Pluvialis fulva,pagplo,species,pagplo,species,True
Black-bellied Plover/golden-plover sp.,Black-bellied Plover/golden-plover sp.,Pluvialis sp.,y00494,spuh,y00494,spuh,False
Northern Lapwing,Northern Lapwing,Vanellus vanellus,norlap,species,norlap,species,True
Sociable Lapwing,Sociable Lapwing,Vanellus gregarius,soclap1,species,soclap1,species,True
Greater Sand-Plover,Greater Sand-Plover,Charadrius leschenaultii,grsplo,species,grsplo,species,True
Lesser/Greater Sand-Plover,Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii,y00648,slash,y00648,slash,False
Kentish Plover,Kentish Plover,Charadrius alexandrinus,kenplo1,species,kenplo1,species,True
Common Ringed Plover,Common Ringed Plover,Charadrius hiaticula,corplo,species,corplo,species,True
Little Ringed Plover,Little Ringed Plover,Charadrius dubius,lirplo,species,lirplo,species,True
Killdeer,Killdeer,Charadrius vociferus,killde,species,killde,species,True
Eurasian Dotterel,Eurasian Dotterel,Charadrius morinellus,eurdot,species,eurdot,species,True
small plover sp.,small plover sp.,Charadrius sp.,smaplo1,spuh,smaplo1,spuh,False
plover sp.,plover sp.,Charadriidae sp.,plover2,spuh,plover2,spuh,False
Whimbrel,Whimbrel,Numenius phaeopus,whimbr,species,whimbr,species,True
Eurasian Curlew,Eurasian Curlew,Numenius arquata,eurcur,species,eurcur,species,True
Whimbrel/Eurasian Curlew,Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata,y00774,slash,y00774,slash,False
curlew sp.,curlew sp.,Numenius sp.,curlew1,spuh,curlew1,spuh,False
Bar-tailed Godwit,Bar-tailed Godwit,Limosa lapponica,batgod,species,batgod,species,True
Black-tailed Godwit,Black-tailed Godwit,Limosa limosa,bktgod,species,bktgod,species,True
godwit sp.,godwit sp.,Limosa sp.,godwit1,spuh,godwit1,spuh,False
Ruddy Turnstone,Ruddy Turnstone,Arenaria interpres,rudtur,species,rudtur,species,True
Great Knot,Great Knot,Calidris tenuirostris,grekno,species,grekno,species,True
Red Knot,Red Knot,Calidris canutus,redkno,species,redkno,species,True
Ruff,Ruff,Calidris pugnax,ruff,species,ruff,species,True
Broad-billed Sandpiper,Broad-billed Sandpiper,Calidris falcinellus,brbsan,species,brbsan,species,True
Sharp-tailed Sandpiper,Sharp-tailed Sandpiper,Calidris acuminata,shtsan,species,shtsan,species,True
Curlew Sandpiper,Curlew Sandpiper,Calidris ferruginea,cursan,species,cursan,species,True
Temminck's Stint,Temminck's Stint,Calidris temminckii,temsti,species,temsti,species,True
Sanderling,Sanderling,Calidris alba,sander,species,sander,species,True
Dunlin,Dunlin,Calidris alpina,dunlin,species,dunlin,species,True
Purple Sandpiper,Purple Sandpiper,Calidris maritima,pursan,species,pursan,species,True
Baird's Sandpiper,Baird's Sandpiper,Calidris bairdii,baisan,species,baisan,species,True
Little Stint,Little Stint,Calidris minuta,litsti,species,litsti,species,True
White-rumped Sandpiper,White-rumped Sandpiper,Calidris fuscicollis,whrsan,species,whrsan,species,True
Buff-breasted Sandpiper,Buff-breasted Sandpiper,Calidris subruficollis,bubsan,species,bubsan,species,True
Pectoral Sandpiper,Pectoral Sandpiper,Calidris melanotos,pecsan,species,pecsan,species,True
Semipalmated Sandpiper,Semipalmated Sandpiper,Calidris pusilla,semsan,species,semsan,species,True
peep sp.,peep sp.,Calidris sp. (peep sp.),calidr,spuh,calidr,spuh,False
Calidris sp.,Calidris sp.,Calidris sp.,calidr1,spuh,calidr1,spuh,False
Short-billed Dowitcher,Short-billed Dowitcher,Limnodromus griseus,shbdow,species,shbdow,species,True
Long-billed Dowitcher,Long-billed Dowitcher,Limnodromus scolopaceus,lobdow,species,lobdow,species,True
Jack Snipe,Jack Snipe,Lymnocryptes minimus,jacsni,species,jacsni,species,True
Eurasian Woodcock,Eurasian Woodcock,Scolopax rusticola,eurwoo,species,eurwoo,species,True
Great Snipe,Great Snipe,Gallinago media,gresni1,species,gresni1,species,True
Common Snipe,Common Snipe,Gallinago gallinago,comsni,species,comsni,species,True
snipe sp.,snipe sp.,Gallinago sp.,snipe2,spuh,snipe2,spuh,False
Terek Sandpiper,Terek Sandpiper,Xenus cinereus,tersan,species,tersan,species,True
Wilson's Phalarope,Wilson's Phalarope,Phalaropus tricolor,wilpha,species,wilpha,species,True
Red-necked Phalarope,Red-necked Phalarope,Phalaropus lobatus,renpha,species,renpha,species,True
Red Phalarope,Red Phalarope,Phalaropus fulicarius,redpha1,species,redpha1,species,True
phalarope sp.,phalarope sp.,Phalaropus sp.,phalar,spuh,phalar,spuh,False
Common Sandpiper,Common Sandpiper,Actitis hypoleucos,comsan,species,comsan,species,True
Spotted Sandpiper,Spotted Sandpiper,Actitis macularius,sposan,species,sposan,species,True
Green Sandpiper,Green Sandpiper,Tringa ochropus,grnsan,species,grnsan,species,True
Solitary Sandpiper,Solitary Sandpiper,Tringa solitaria,solsan,species,solsan,species,True
Spotted Redshank,Spotted Redshank,Tringa erythropus,spored,species,spored,species,True
Greater Yellowlegs,Greater Yellowlegs,Tringa melanoleuca,greyel,species,greyel,species,True
Common Greenshank,Common Greenshank,Tringa nebularia,comgre,species,comgre,species,True
Lesser Yellowlegs,Lesser Yellowlegs,Tringa flavipes,lesyel,species,lesyel,species,True
Marsh Sandpiper,Marsh Sandpiper,Tringa stagnatilis,marsan,species,marsan,species,True
Wood Sandpiper,Wood Sandpiper,Tringa glareola,woosan,species,woosan,species,True
Common Redshank,Common Redshank,Tringa totanus,comred1,species,comred1,species,True
Tringa sp.,Tringa sp.,Tringa sp.,tringa1,spuh,tringa1,spuh,False
large shorebird sp.,large shorebird sp.,Scolopacidae sp. (large shorebird sp.),larsho1,spuh,larsho1,spuh,False
Cream-colored Courser,Cream-colored Courser,Cursorius cursor,crccou1,species,crccou1,species,True
Collared Pratincole,Collared Pratincole,Glareola pratincola,colpra,species,colpra,species,True
shorebird sp.,shorebird sp.,Charadriiformes sp.,shoreb1,spuh,shoreb1,spuh,False
