displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Eurasian Jay,Eurasian Jay,Garrulus glandarius,eurjay1,species,eurjay1,species,True
jay sp.,jay sp.,Corvidae sp. (jay sp.),jay1,spuh,jay1,spuh,False
Iberian Magpie,Iberian Magpie,Cyanopica cooki,azwmag3,species,azwmag3,species,True
Eurasian Magpie,Eurasian Magpie,Pica pica,eurmag1,species,eurmag1,species,True
Eurasian Nutcracker,Eurasian Nutcracker,Nucifraga caryocatactes,eurnut1,species,eurnut1,species,True
Red-billed Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,rebcho1,species,rebcho1,species,True
Yellow-billed Chough,Yellow-billed Chough,Pyrrhocorax graculus,yebcho1,species,yebcho1,species,True
Red-billed/Yellow-billed Chough,Red-billed/Yellow-billed Chough,Pyrrhocorax pyrrhocorax/graculus,y00895,slash,y00895,slash,False
Eurasian Jackdaw,Eurasian Jackdaw,Corvus monedula,eurjac,species,eurjac,species,True
House Crow,House Crow,Corvus splendens,houcro1,species,houcro1,species,True
Rook,Rook,Corvus frugilegus,rook1,species,rook1,species,True
Carrion Crow,Carrion Crow,Corvus corone,carcro1,species,carcro1,species,True
Hooded Crow,Hooded Crow,Corvus cornix,hoocro1,species,hoocro1,species,True
crow sp.,crow sp.,Corvus sp. (crow sp.),crow,spuh,crow,spuh,False
Pied Crow,Pied Crow,Corvus albus,piecro1,species,piecro1,species,True
Brown-necked Raven,Brown-necked Raven,Corvus ruficollis,brnrav1,species,brnrav1,species,True
Common Raven,Common Raven,Corvus corax,comrav,species,comrav,species,True
crow/raven sp.,crow/raven sp.,Corvus sp.,y00639,spuh,y00639,spuh,False
Coal Tit,Coal Tit,Periparus ater,coatit2,species,coatit2,species,True
Crested Tit,Crested Tit,Lophophanes cristatus,cretit2,species,cretit2,species,True
Marsh Tit,Marsh Tit,Poecile palustris,martit2,species,martit2,species,True
Eurasian Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,blutit,species,blutit,species,True
African Blue Tit,African Blue Tit,Cyanistes teneriffae,afbtit2,species,afbtit2,species,True
Great Tit,Great Tit,Parus major,gretit1,species,gretit1,species,True
Parid sp.,Parid sp.,Paridae sp.,parid1,spuh,parid1,spuh,False
Eurasian Penduline-Tit,Eurasian Penduline-Tit,Remiz pendulinus,euptit1,species,euptit1,species,True
Bar-tailed Lark,Bar-tailed Lark,Ammomanes cinctura,batlar1,species,batlar1,species,True
Horned Lark,Horned Lark,Eremophila alpestris,horlar,species,horlar,species,True
Greater Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,gstlar1,species,gstlar1,species,True
Calandra Lark,Calandra Lark,Melanocorypha calandra,callar1,species,callar1,species,True
Dupont's Lark,Dupont's Lark,Chersophilus duponti,duplar1,species,duplar1,species,True
Lesser Short-toed Lark,Lesser Short-toed Lark,Alaudala rufescens,lstlar3,species,lstlar3,species,True
Greater/Asian/Lesser Short-toed Lark,Greater/Asian/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala cheleensis/rufescens,y00675,slash,y00675,slash,False
Wood Lark,Wood Lark,Lullula arborea,woolar1,species,woolar1,species,True
Eurasian Skylark,Eurasian Skylark,Alauda arvensis,skylar,species,skylar,species,True
Thekla's Lark,Thekla's Lark,Galerida theklae,thelar1,species,thelar1,species,True
Crested Lark,Crested Lark,Galerida cristata,crelar2,species,crelar2,species,True
Thekla's/Crested Lark,Thekla's/Crested Lark,Galerida theklae/cristata,y00980,slash,y00980,slash,False
Crested/Maghreb Lark,Crested/Maghreb Lark,Galerida cristata/macrorhyncha,crelar1,slash,crelar1,slash,False
Thekla's/Crested/Maghreb Lark,Thekla's/Crested/Maghreb Lark,Galerida theklae/cristata/macrorhyncha,y00655,slash,y00655,slash,False
lark sp.,lark sp.,Alaudidae sp.,lark1,spuh,lark1,spuh,False
Bearded Reedling,Bearded Reedling,Panurus biarmicus,bearee1,species,bearee1,species,True
Zitting Cisticola,Zitting Cisticola,Cisticola juncidis,zitcis1,species,zitcis1,species,True
Booted/Sykes's Warbler,Booted/Sykes's Warbler,Iduna caligata/rama,y00643,slash,y00643,slash,False
Eastern Olivaceous Warbler,Eastern Olivaceous Warbler,Iduna pallida,eaowar1,species,eaowar1,species,True
Western Olivaceous Warbler,Western Olivaceous Warbler,Iduna opaca,weowar1,species,weowar1,species,True
Eastern/Western Olivaceous Warbler,Eastern/Western Olivaceous Warbler,Iduna pallida/opaca,y00623,slash,y00623,slash,False
Iduna sp.,Iduna sp.,Iduna sp.,iduna1,spuh,iduna1,spuh,False
Melodious Warbler,Melodious Warbler,Hippolais polyglotta,melwar1,species,melwar1,species,True
Icterine Warbler,Icterine Warbler,Hippolais icterina,ictwar1,species,ictwar1,species,True
Melodious/Icterine Warbler,Melodious/Icterine Warbler,Hippolais polyglotta/icterina,y00644,slash,y00644,slash,False
Hippolais sp.,Hippolais sp.,Hippolais sp.,hippol1,spuh,hippol1,spuh,False
Aquatic Warbler,Aquatic Warbler,Acrocephalus paludicola,aquwar1,species,aquwar1,species,True
Moustached Warbler,Moustached Warbler,Acrocephalus melanopogon,mouwar1,species,mouwar1,species,True
Sedge Warbler,Sedge Warbler,Acrocephalus schoenobaenus,sedwar1,species,sedwar1,species,True
Paddyfield Warbler,Paddyfield Warbler,Acrocephalus agricola,padwar1,species,padwar1,species,True
Blyth's Reed Warbler,Blyth's Reed Warbler,Acrocephalus dumetorum,blrwar1,species,blrwar1,species,True
Marsh Warbler,Marsh Warbler,Acrocephalus palustris,marwar3,species,marwar3,species,True
Eurasian Reed Warbler,Eurasian Reed Warbler,Acrocephalus scirpaceus,eurwar1,species,eurwar1,species,True
Marsh Warbler/Eurasian Reed Warbler,Marsh Warbler/Eurasian Reed Warbler,Acrocephalus palustris/scirpaceus,y00624,slash,y00624,slash,False
African Reed Warbler,African Reed Warbler,Acrocephalus baeticatus,afrwar1,species,afrwar1,species,True
Eurasian Reed/African Reed Warbler,Eurasian Reed/African Reed Warbler,Acrocephalus scirpaceus/baeticatus,y01047,slash,y01047,slash,False
Great Reed Warbler,Great Reed Warbler,Acrocephalus arundinaceus,grrwar1,species,grrwar1,species,True
Eurasian/Great Reed Warbler,Eurasian/Great Reed Warbler,Acrocephalus scirpaceus/arundinaceus,y00667,slash,y00667,slash,False
Acrocephalus sp.,Acrocephalus sp.,Acrocephalus sp.,acroce1,spuh,acroce1,spuh,False
Iduna/Hippolais/Acrocephalus sp.,Iduna/Hippolais/Acrocephalus sp.,Iduna/Hippolais/Acrocephalus sp.,y00908,spuh,y00908,spuh,False
River Warbler,River Warbler,Locustella fluviatilis,eurwar2,species,eurwar2,species,True
Savi's Warbler,Savi's Warbler,Locustella luscinioides,savwar1,species,savwar1,species,True
Common Grasshopper-Warbler,Common Grasshopper-Warbler,Locustella naevia,cogwar1,species,cogwar1,species,True
Locustella sp.,Locustella sp.,Locustella sp.,locust2,spuh,locust2,spuh,False
Bank Swallow,Bank Swallow,Riparia riparia,banswa,species,banswa,species,True
Eurasian Crag-Martin,Eurasian Crag-Martin,Ptyonoprogne rupestris,eurcrm1,species,eurcrm1,species,True
Barn Swallow,Barn Swallow,Hirundo rustica,barswa,species,barswa,species,True
Red-rumped Swallow,Red-rumped Swallow,Cecropis daurica,rerswa1,species,rerswa1,species,True
Common House-Martin,Common House-Martin,Delichon urbicum,cohmar1,species,cohmar1,species,True
Barn Swallow x Common House-Martin (hybrid),Barn Swallow x Common House-Martin (hybrid),Hirundo rustica x Delichon urbicum,x00659,hybrid,x00659,hybrid,False
swallow sp.,swallow sp.,Hirundinidae sp.,swallo,spuh,swallo,spuh,False
Red-vented Bulbul,Red-vented Bulbul,Pycnonotus cafer,revbul,species,revbul,species,True
Common Bulbul,Common Bulbul,Pycnonotus barbatus,combul2,species,combul2,species,True
Wood Warbler,Wood Warbler,Phylloscopus sibilatrix,woowar,species,woowar,species,True
Western Bonelli's Warbler,Western Bonelli's Warbler,Phylloscopus bonelli,webwar1,species,webwar1,species,True
Yellow-browed Warbler,Yellow-browed Warbler,Phylloscopus inornatus,yebwar3,species,yebwar3,species,True
Hume's Warbler,Hume's Warbler,Phylloscopus humei,humwar1,species,humwar1,species,True
Pallas's Leaf Warbler,Pallas's Leaf Warbler,Phylloscopus proregulus,palwar5,species,palwar5,species,True
Radde's Warbler,Radde's Warbler,Phylloscopus schwarzi,radwar1,species,radwar1,species,True
Dusky Warbler,Dusky Warbler,Phylloscopus fuscatus,duswar,species,duswar,species,True
Willow Warbler,Willow Warbler,Phylloscopus trochilus,wlwwar,species,wlwwar,species,True
Canary Islands Chiffchaff,Canary Islands Chiffchaff,Phylloscopus canariensis,caichi1,species,caichi1,species,True
Common Chiffchaff,Common Chiffchaff,Phylloscopus collybita,comchi1,species,comchi1,species,True
Willow Warbler/Common Chiffchaff,Willow Warbler/Common Chiffchaff,Phylloscopus trochilus/collybita,y00812,slash,y00812,slash,False
Iberian Chiffchaff,Iberian Chiffchaff,Phylloscopus ibericus,ibechi2,species,ibechi2,species,True
Willow Warbler/Common Chiffchaff/Iberian Chiffchaff,Willow Warbler/Common Chiffchaff/Iberian Chiffchaff,Phylloscopus trochilus/collybita/ibericus,y01045,slash,y01045,slash,False
Common/Iberian Chiffchaff,Common/Iberian Chiffchaff,Phylloscopus collybita/ibericus,y00813,slash,y00813,slash,False
Phylloscopus sp.,Phylloscopus sp.,Phylloscopus sp.,phyllo1,spuh,phyllo1,spuh,False
Cetti's Warbler,Cetti's Warbler,Cettia cetti,cetwar1,species,cetwar1,species,True
Long-tailed Tit,Long-tailed Tit,Aegithalos caudatus,lottit1,species,lottit1,species,True
Eurasian Blackcap,Eurasian Blackcap,Sylvia atricapilla,blackc1,species,blackc1,species,True
Garden Warbler,Garden Warbler,Sylvia borin,garwar1,species,garwar1,species,True
African Desert Warbler,African Desert Warbler,Sylvia deserti,afdwar1,species,afdwar1,species,True
Asian Desert Warbler,Asian Desert Warbler,Sylvia nana,asdwar1,species,asdwar1,species,True
Barred Warbler,Barred Warbler,Sylvia nisoria,barwar1,species,barwar1,species,True
Lesser Whitethroat,Lesser Whitethroat,Sylvia curruca,leswhi4,species,leswhi4,species,True
Western Orphean Warbler,Western Orphean Warbler,Sylvia hortensis,weowar2,species,weowar2,species,True
Tristram's Warbler,Tristram's Warbler,Sylvia deserticola,triwar1,species,triwar1,species,True
Subalpine Warbler,Subalpine Warbler,Sylvia cantillans,subwar1,species,subwar1,species,True
Moltoni's Warbler,Moltoni's Warbler,Sylvia subalpina,subwar8,species,subwar8,species,True
Subalpine/Moltoni's Warbler,Subalpine/Moltoni's Warbler,Sylvia cantillans/subalpina,y00909,slash,y00909,slash,False
Sardinian Warbler,Sardinian Warbler,Sylvia melanocephala,sarwar1,species,sarwar1,species,True
Greater Whitethroat,Greater Whitethroat,Sylvia communis,grewhi1,species,grewhi1,species,True
Spectacled Warbler,Spectacled Warbler,Sylvia conspicillata,spewar2,species,spewar2,species,True
Marmora's Warbler,Marmora's Warbler,Sylvia sarda,marwar1,species,marwar1,species,True
Dartford Warbler,Dartford Warbler,Sylvia undata,darwar1,species,darwar1,species,True
Balearic Warbler,Balearic Warbler,Sylvia balearica,balwar1,species,balwar1,species,True
Sylvia sp.,Sylvia sp.,Sylvia sp.,sylvia1,spuh,sylvia1,spuh,False
Red-billed Leiothrix,Red-billed Leiothrix,Leiothrix lutea,reblei,species,reblei,species,True
Goldcrest,Goldcrest,Regulus regulus,goldcr1,species,goldcr1,species,True
Common Firecrest,Common Firecrest,Regulus ignicapilla,firecr1,species,firecr1,species,True
Goldcrest/Common Firecrest,Goldcrest/Common Firecrest,Regulus regulus/ignicapilla,y00622,slash,y00622,slash,False
kinglet sp.,kinglet sp.,Regulus sp.,kingle,spuh,kingle,spuh,False
Wallcreeper,Wallcreeper,Tichodroma muraria,wallcr1,species,wallcr1,species,True
Eurasian Nuthatch,Eurasian Nuthatch,Sitta europaea,eurnut2,species,eurnut2,species,True
Eurasian Treecreeper,Eurasian Treecreeper,Certhia familiaris,eurtre1,species,eurtre1,species,True
Short-toed Treecreeper,Short-toed Treecreeper,Certhia brachydactyla,shttre1,species,shttre1,species,True
Eurasian/Short-toed Treecreeper,Eurasian/Short-toed Treecreeper,Certhia familiaris/brachydactyla,y00640,slash,y00640,slash,False
treecreeper sp.,treecreeper sp.,Certhia sp.,certhi1,spuh,certhi1,spuh,False
Eurasian Wren,Eurasian Wren,Troglodytes troglodytes,winwre4,species,winwre4,species,True
White-throated Dipper,White-throated Dipper,Cinclus cinclus,whtdip1,species,whtdip1,species,True
European Starling,European Starling,Sturnus vulgaris,eursta,species,eursta,species,True
Spotless Starling,Spotless Starling,Sturnus unicolor,sposta1,species,sposta1,species,True
European/Spotless Starling,European/Spotless Starling,Sturnus vulgaris/unicolor,y00626,slash,y00626,slash,False
Rosy Starling,Rosy Starling,Pastor roseus,rossta2,species,rossta2,species,True
Common Myna,Common Myna,Acridotheres tristis,commyn,species,commyn,species,True
Lamprotornis sp.,Lamprotornis sp.,Lamprotornis sp.,glossy1,spuh,glossy1,spuh,False
Mistle Thrush,Mistle Thrush,Turdus viscivorus,misthr1,species,misthr1,species,True
Song Thrush,Song Thrush,Turdus philomelos,sonthr1,species,sonthr1,species,True
Redwing,Redwing,Turdus iliacus,redwin,species,redwin,species,True
Eurasian Blackbird,Eurasian Blackbird,Turdus merula,eurbla,species,eurbla,species,True
Fieldfare,Fieldfare,Turdus pilaris,fieldf,species,fieldf,species,True
Ring Ouzel,Ring Ouzel,Turdus torquatus,rinouz1,species,rinouz1,species,True
Black-throated Thrush,Black-throated Thrush,Turdus atrogularis,datthr1,species,datthr1,species,True
Naumann's Thrush,Naumann's Thrush,Turdus naumanni,dusthr1,species,dusthr1,species,True
Turdus sp.,Turdus sp.,Turdus sp.,turdus1,spuh,turdus1,spuh,False
thrush sp.,thrush sp.,Turdidae sp.,thrush1,spuh,thrush1,spuh,False
Spotted Flycatcher,Spotted Flycatcher,Muscicapa striata,spofly1,species,spofly1,species,True
Muscicapa sp.,Muscicapa sp.,Muscicapa sp.,muscic1,spuh,muscic1,spuh,False
Rufous-tailed Scrub-Robin,Rufous-tailed Scrub-Robin,Cercotrichas galactotes,rutscr1,species,rutscr1,species,True
European Robin,European Robin,Erithacus rubecula,eurrob1,species,eurrob1,species,True
Common Nightingale,Common Nightingale,Luscinia megarhynchos,comnig1,species,comnig1,species,True
Bluethroat,Bluethroat,Luscinia svecica,blueth,species,blueth,species,True
Red-flanked Bluetail,Red-flanked Bluetail,Tarsiger cyanurus,refblu,species,refblu,species,True
Red-breasted Flycatcher,Red-breasted Flycatcher,Ficedula parva,rebfly,species,rebfly,species,True
European Pied Flycatcher,European Pied Flycatcher,Ficedula hypoleuca,eupfly1,species,eupfly1,species,True
Collared Flycatcher,Collared Flycatcher,Ficedula albicollis,colfly1,species,colfly1,species,True
European Pied x Collared Flycatcher (hybrid),European Pied x Collared Flycatcher (hybrid),Ficedula hypoleuca x albicollis,x00817,hybrid,x00817,hybrid,False
Ficedula sp.,Ficedula sp.,Ficedula sp.,ficedu1,spuh,ficedu1,spuh,False
Moussier's Redstart,Moussier's Redstart,Phoenicurus moussieri,moured1,species,moured1,species,True
Common Redstart,Common Redstart,Phoenicurus phoenicurus,comred2,species,comred2,species,True
Black Redstart,Black Redstart,Phoenicurus ochruros,blared1,species,blared1,species,True
Common/Black Redstart,Common/Black Redstart,Phoenicurus phoenicurus/ochruros,y01071,slash,y01071,slash,False
redstart sp.,redstart sp.,Phoenicurus sp.,redsta1,spuh,redsta1,spuh,False
Rufous-tailed Rock-Thrush,Rufous-tailed Rock-Thrush,Monticola saxatilis,rtrthr1,species,rtrthr1,species,True
Blue Rock-Thrush,Blue Rock-Thrush,Monticola solitarius,burthr,species,burthr,species,True
rock-thrush sp.,rock-thrush sp.,Monticola sp.,rock-t1,spuh,rock-t1,spuh,False
Whinchat,Whinchat,Saxicola rubetra,whinch1,species,whinch1,species,True
Fuerteventura Stonechat,Fuerteventura Stonechat,Saxicola dacotiae,caisto1,species,caisto1,species,True
European Stonechat,European Stonechat,Saxicola rubicola,stonec4,species,stonec4,species,True
Siberian Stonechat,Siberian Stonechat,Saxicola maurus,sibsto1,species,sibsto1,species,True
Northern Wheatear,Northern Wheatear,Oenanthe oenanthe,norwhe,species,norwhe,species,True
Isabelline Wheatear,Isabelline Wheatear,Oenanthe isabellina,isawhe1,species,isawhe1,species,True
Desert Wheatear,Desert Wheatear,Oenanthe deserti,deswhe1,species,deswhe1,species,True
Black-eared Wheatear,Black-eared Wheatear,Oenanthe hispanica,blewhe1,species,blewhe1,species,True
Northern/Black-eared Wheatear,Northern/Black-eared Wheatear,Oenanthe oenanthe/hispanica,y00915,slash,y00915,slash,False
Black Wheatear,Black Wheatear,Oenanthe leucura,blawhe1,species,blawhe1,species,True
wheatear sp.,wheatear sp.,Oenanthe sp.,wheate1,spuh,wheate1,spuh,False
Black-headed Weaver,Black-headed Weaver,Ploceus melanocephalus,blhwea1,species,blhwea1,species,True
Red-billed Quelea,Red-billed Quelea,Quelea quelea,rebque1,species,rebque1,species,True
Southern Red Bishop,Southern Red Bishop,Euplectes orix,redbis,species,redbis,species,True
Yellow-crowned Bishop,Yellow-crowned Bishop,Euplectes afer,yecbis,species,yecbis,species,True
Euplectes sp.,Euplectes sp.,Euplectes sp.,euplec1,spuh,euplec1,spuh,False
Orange-cheeked Waxbill,Orange-cheeked Waxbill,Estrilda melpoda,orcwax,species,orcwax,species,True
Black-rumped Waxbill,Black-rumped Waxbill,Estrilda troglodytes,bkrwax,species,bkrwax,species,True
Common Waxbill,Common Waxbill,Estrilda astrild,comwax,species,comwax,species,True
waxbill sp.,waxbill sp.,Estrilda sp.,waxbil1,spuh,waxbil1,spuh,False
Red Avadavat,Red Avadavat,Amandava amandava,redava,species,redava,species,True
Zebra Finch,Zebra Finch,Taeniopygia guttata,zebfin2,species,zebfin2,species,True
Zebra x Double-barred Finch (hybrid),Zebra x Double-barred Finch (hybrid),Taeniopygia guttata x bichenovii,x00906,hybrid,x00906,hybrid,False
African Silverbill,African Silverbill,Euodice cantans,afrsil1,species,afrsil1,species,True
Scaly-breasted Munia,Scaly-breasted Munia,Lonchura punctulata,nutman,species,nutman,species,True
Alpine Accentor,Alpine Accentor,Prunella collaris,alpacc1,species,alpacc1,species,True
Dunnock,Dunnock,Prunella modularis,dunnoc1,species,dunnoc1,species,True
House Sparrow,House Sparrow,Passer domesticus,houspa,species,houspa,species,True
Italian Sparrow,Italian Sparrow,Passer italiae,itaspa1,species,itaspa1,species,True
House x Italian Sparrow (hybrid),House x Italian Sparrow (hybrid),Passer domesticus x italiae,x00873,hybrid,x00873,hybrid,False
Spanish Sparrow,Spanish Sparrow,Passer hispaniolensis,spaspa1,species,spaspa1,species,True
House x Spanish Sparrow (hybrid),House x Spanish Sparrow (hybrid),Passer domesticus x hispaniolensis,x00645,hybrid,x00645,hybrid,False
House/Spanish Sparrow,House/Spanish Sparrow,Passer domesticus/hispaniolensis,y00829,slash,y00829,slash,False
Eurasian Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,eutspa,species,eutspa,species,True
House/Eurasian Tree Sparrow,House/Eurasian Tree Sparrow,Passer domesticus/montanus,y00764,slash,y00764,slash,False
Sudan Golden Sparrow,Sudan Golden Sparrow,Passer luteus,sugspa1,species,sugspa1,species,True
Passer sp.,Passer sp.,Passer sp.,passer2,spuh,passer2,spuh,False
Rock Sparrow,Rock Sparrow,Petronia petronia,rocpet1,species,rocpet1,species,True
White-winged Snowfinch,White-winged Snowfinch,Montifringilla nivalis,whwsno1,species,whwsno1,species,True
Gray Wagtail,Gray Wagtail,Motacilla cinerea,grywag,species,grywag,species,True
Western Yellow Wagtail,Western Yellow Wagtail,Motacilla flava,eaywag1,species,eaywag1,species,True
Citrine Wagtail,Citrine Wagtail,Motacilla citreola,citwag,species,citwag,species,True
White Wagtail,White Wagtail,Motacilla alba,whiwag,species,whiwag,species,True
wagtail sp.,wagtail sp.,Motacilla sp.,wagtai1,spuh,wagtai1,spuh,False
Richard's Pipit,Richard's Pipit,Anthus richardi,ricpip1,species,ricpip1,species,True
Richard's/Paddyfield Pipit,Richard's/Paddyfield Pipit,Anthus richardi/rufulus,y00918,slash,y00918,slash,False
Tawny Pipit,Tawny Pipit,Anthus campestris,tawpip1,species,tawpip1,species,True
Berthelot's Pipit,Berthelot's Pipit,Anthus berthelotii,berpip1,species,berpip1,species,True
Meadow Pipit,Meadow Pipit,Anthus pratensis,meapip1,species,meapip1,species,True
Tree Pipit,Tree Pipit,Anthus trivialis,trepip,species,trepip,species,True
Meadow/Tree Pipit,Meadow/Tree Pipit,Anthus pratensis/trivialis,y00672,slash,y00672,slash,False
Olive-backed Pipit,Olive-backed Pipit,Anthus hodgsoni,olbpip,species,olbpip,species,True
Red-throated Pipit,Red-throated Pipit,Anthus cervinus,retpip,species,retpip,species,True
Water Pipit,Water Pipit,Anthus spinoletta,watpip1,species,watpip1,species,True
Meadow/Water Pipit,Meadow/Water Pipit,Anthus pratensis/spinoletta,y00671,slash,y00671,slash,False
Rock Pipit,Rock Pipit,Anthus petrosus,rocpip1,species,rocpip1,species,True
Water/Rock Pipit,Water/Rock Pipit,Anthus spinoletta/petrosus,y00759,slash,y00759,slash,False
pipit sp.,pipit sp.,Anthus sp.,pipit1,spuh,pipit1,spuh,False
Common Chaffinch,Common Chaffinch,Fringilla coelebs,comcha,species,comcha,species,True
Brambling,Brambling,Fringilla montifringilla,brambl,species,brambl,species,True
Hawfinch,Hawfinch,Coccothraustes coccothraustes,hawfin,species,hawfin,species,True
Common Rosefinch,Common Rosefinch,Carpodacus erythrinus,comros,species,comros,species,True
Eurasian Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula,eurbul,species,eurbul,species,True
Trumpeter Finch,Trumpeter Finch,Bucanetes githagineus,trufin2,species,trufin2,species,True
European Greenfinch,European Greenfinch,Chloris chloris,eurgre1,species,eurgre1,species,True
Twite,Twite,Linaria flavirostris,twite1,species,twite1,species,True
Eurasian Linnet,Eurasian Linnet,Linaria cannabina,eurlin1,species,eurlin1,species,True
Common Redpoll,Common Redpoll,Acanthis flammea,comred,species,comred,species,True
Lesser Redpoll,Lesser Redpoll,Acanthis cabaret,lesred1,species,lesred1,species,True
Common/Lesser Redpoll,Common/Lesser Redpoll,Acanthis flammea/cabaret,y00763,slash,y00763,slash,False
Red Crossbill,Red Crossbill,Loxia curvirostra,redcro,species,redcro,species,True
European Goldfinch,European Goldfinch,Carduelis carduelis,eurgol,species,eurgol,species,True
Citril Finch,Citril Finch,Carduelis citrinella,citfin1,species,citfin1,species,True
European Serin,European Serin,Serinus serinus,eurser1,species,eurser1,species,True
Island Canary,Island Canary,Serinus canaria,comcan,species,comcan,species,True
Island Canary (Domestic type),Island Canary (Domestic type),Serinus canaria (Domestic type),islcan1,domestic,islcan1,domestic,False
Eurasian Siskin,Eurasian Siskin,Spinus spinus,eursis,species,eursis,species,True
finch sp.,finch sp.,Fringillidae sp.,finch1,spuh,finch1,spuh,False
Lapland Longspur,Lapland Longspur,Calcarius lapponicus,laplon,species,laplon,species,True
Snow Bunting,Snow Bunting,Plectrophenax nivalis,snobun,species,snobun,species,True
Black-headed Bunting,Black-headed Bunting,Emberiza melanocephala,blhbun1,species,blhbun1,species,True
Corn Bunting,Corn Bunting,Emberiza calandra,corbun1,species,corbun1,species,True
Rock Bunting,Rock Bunting,Emberiza cia,rocbun1,species,rocbun1,species,True
Cirl Bunting,Cirl Bunting,Emberiza cirlus,cirbun1,species,cirbun1,species,True
Yellowhammer,Yellowhammer,Emberiza citrinella,yellow2,species,yellow2,species,True
Pine Bunting,Pine Bunting,Emberiza leucocephalos,pinbun,species,pinbun,species,True
Ortolan Bunting,Ortolan Bunting,Emberiza hortulana,ortbun1,species,ortbun1,species,True
House Bunting,House Bunting,Emberiza sahari,houbun3,species,houbun3,species,True
Reed Bunting,Reed Bunting,Emberiza schoeniclus,reebun,species,reebun,species,True
Yellow-breasted Bunting,Yellow-breasted Bunting,Emberiza aureola,yebbun,species,yebbun,species,True
Little Bunting,Little Bunting,Emberiza pusilla,litbun,species,litbun,species,True
Emberiza sp.,Emberiza sp.,Emberiza sp.,emberi1,spuh,emberi1,spuh,False
passerine sp.,passerine sp.,Passeriformes sp.,passer1,spuh,passer1,spuh,False
bird sp.,bird sp.,Aves sp.,bird1,spuh,bird1,spuh,False
